,物資名,理想量,現在の量,TorF,1在庫を消費する客数,前回発注数,前回発注日,前回発注日からの客数,更新日
48,Ｄカップホルダー　４個用,1,,FALSE,100,,,70,
49,おしぼり　平185*203MM,3,,FALSE,100,,,70,
50,ﾆｭｰﾌﾟﾛﾏｯｸｽプラカップ Sｻｲｽﾞ(BIP362D),15,,FALSE,100,,,70,
51,食材管理シール30X54MM (2500枚／袋),1,,FALSE,100,,,70,
52,ハイパワーガスKC-860(ﾊﾟﾜｰﾄｰﾁ代替品）,3,,FALSE,100,,,70,
53,ｸﾗﾌﾄ無地厚手ﾜｯｸｽﾍﾟｰﾊﾟｰ22X30CM 250枚,15,,FALSE,100,,,70,
54,新JSバーガー袋（BITE INTO IT),1,,FALSE,100,,,70,
55,ＪＳ　バーガーＢＯＸ　本体 １００枚,1,,FALSE,100,,,70,
56,ＪＳ　バーガーＢＯＸ　仕切り500枚,1,,FALSE,100,,,70,
57,ドッグスリーブ　無地（１００枚入）,1,,FALSE,100,,,70,
58,フォーク＃１６０　黒　バラ500本入,5,,FALSE,100,,,70,
59,ナイフ＃１６０　黒　バラ　500本入,3,,FALSE,100,,,70,
60,JSB未晒ショッパー 240X140XH300MM 200ﾏｲ,1,,FALSE,100,,,70,
61,アクシャルニュースター液体ＮＲ２５ｋｇ,1,,FALSE,100,,,70,
62,ｸﾘｰﾝ&ｸﾘｰﾝ X7薬用ﾊﾝﾄﾞｳｫｯｼｭ 4.5L,1,,FALSE,100,,,70,
63,バイオガード中性洗剤　５Ｌ,2,,FALSE,100,,,70,
64,バイオガード除菌コート剤　５Ｌ,2,,FALSE,100,,,70,
65,かんたん汚物処理キット,1,,FALSE,100,,,70,
66,花王パワークリーナー　４．５Ｌ,2,,FALSE,100,,,70,
67,除菌・漂白剤　ＫＢ６　４．５ｋｇ,2,,FALSE,100,,,70,
68,花王 グリドル用クリーナー２Ｌ,1,,FALSE,100,,,70,
