発注先企業コード,発注先企業名,発注先業態コード,発注先業態,納品先組織コード,納品先組織名,納品先部門コード,納品先部門名,納品書番号,発注番号,行番号,分納番号,検収状態区分値,検収状態名称,状態区分値,状態名称,発注区分値,発注区分名称,自社商品コード,自社商品名,発注数,出荷数,単位,納品日,出荷日,検収日,単価(外税),金額(外税),作成日,作成時間,勘定科目コード,勘定科目名,入数,発注日,発注締切日,商品分類コード,商品分類名,請求先コード,請求先名,発注部門コード,発注部門名,請求先部門コード,請求先部門名,ログインID,発注者氏名,消費税率,出荷時変更前単位名称,出荷時変更前単価(外税),出荷時変更前金額(外税),適用税率区分
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","6","1","1","検収済","'0","通常","'0","Web発注","20047","レジロール58X80X紙管巾12mm 5巻入","5","5","袋","2019/08/15","2019/08/14","2019/09/03","362","1810","2019/08/15","'09:54:00","","連携時作成","5","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","7","1","1","検収済","'0","通常","'0","Web発注","20088","クリーンカツプ　６０ＢＬ本体100個入","5","5","袋","2019/08/15","2019/08/14","2019/09/03","263","1315","2019/08/15","'09:54:00","","連携時作成","100","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","8","1","1","検収済","'0","通常","'0","Web発注","20289","マドラースプーン　黒　５００本","1","1","袋","2019/08/15","2019/08/14","2019/09/03","1650","1650","2019/08/15","'09:54:00","","連携時作成","500","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","9","1","1","検収済","'0","通常","'0","Web発注","20316","おしぼり　平185*203MM","1","1","Ｃ","2019/08/15","2019/08/14","2019/09/03","4500","4500","2019/08/15","'09:54:00","","連携時作成","2000","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","10","1","1","検収済","'0","通常","'0","Web発注","20327","ﾆｭｰﾌﾟﾛﾏｯｸｽプラカップ Sｻｲｽﾞ(BIP362D)","30","30","袋","2019/08/15","2019/08/14","2019/09/03","400","12000","2019/08/15","'09:54:00","","連携時作成","50","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502957","H0001149467","11","1","1","検収済","'0","通常","'0","Web発注","20348","紙コップ５オンス白100個入　別単位ｱﾘ","10","10","袋","2019/08/15","2019/08/14","2019/09/03","148","1480","2019/08/15","'09:54:00","","連携時作成","100","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502957","H0001149467","12","1","1","検収済","'0","通常","'0","Web発注","20585","トイレットペーパーダブル12R入×8袋","1","1","Ｃ","2019/08/15","2019/08/14","2019/09/03","2375","2375","2019/08/15","'09:54:00","","連携時作成","8","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502957","H0001149467","13","1","1","検収済","'0","通常","'0","Web発注","20594","フォーク＃１６０　黒　バラ500本入","2","2","箱","2019/08/15","2019/08/14","2019/09/03","2045","4090","2019/08/15","'09:54:00","","連携時作成","500","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502957","H0001149467","14","1","1","検収済","'0","通常","'0","Web発注","20595","ナイフ＃１６０　黒　バラ　500本入","1","1","箱","2019/08/15","2019/08/14","2019/09/03","2250","2250","2019/08/15","'09:54:00","","連携時作成","500","2019/08/14","2019/08/14 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502957","H0001149467","15","1","1","検収済","'0","通常","'0","Web発注","30029","アクシャルニュースター液体ＮＲ２５ｋｇ","1","1","本","2019/08/15","2019/08/14","2019/09/03","9253","9253","2019/08/15","'09:54:00","","連携時作成","1","2019/08/14","2019/08/14 09:00:00","'030","洗剤","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502957","H0001149467","16","1","1","検収済","'0","通常","'0","Web発注","30050","花王パワークリーナー　４．５Ｌ","1","1","個","2019/08/15","2019/08/14","2019/09/03","1737","1737","2019/08/15","'09:54:00","","連携時作成","1","2019/08/14","2019/08/14 09:00:00","'030","洗剤","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502957","H0001149467","17","1","1","検収済","'0","通常","'0","Web発注","30051","除菌・漂白剤　ＫＢ６　４．５ｋｇ","1","1","本","2019/08/15","2019/08/14","2019/09/03","733","733","2019/08/15","'09:54:00","","連携時作成","1","2019/08/14","2019/08/14 09:00:00","'030","洗剤","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","2","1","1","検収済","'0","通常","'0","Web発注","10097","ニトリル手袋ブルー　Ｓ　粉無　１００枚","5","5","箱","2019/08/17","2019/08/16","2019/09/03","460","2300","2019/08/17","11:26:00","","連携時作成","100","2019/08/16","2019/08/16 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","3","1","1","検収済","'0","通常","'0","Web発注","10098","ニトリル手袋ブルー　Ｍ　粉無　１００枚","5","5","箱","2019/08/17","2019/08/16","2019/09/03","460","2300","2019/08/17","11:26:00","","連携時作成","100","2019/08/16","2019/08/16 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","4","1","1","検収済","'0","通常","'0","Web発注","10157","ハイラップＳVC30CMX100M 別単位あり","5","5","本","2019/08/17","2019/08/16","2019/09/03","175","875","2019/08/17","11:26:00","","連携時作成","1","2019/08/16","2019/08/16 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","5","1","1","検収済","'0","通常","'0","Web発注","10268","クッキングペーパー90枚×2R入×6ｾｯﾄ","1","1","Ｃ","2019/08/17","2019/08/16","2019/09/03","2166","2166","2019/08/17","11:26:00","","連携時作成","6","2019/08/16","2019/08/16 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","6","1","1","検収済","'0","通常","'0","Web発注","20001","4つ折りナフキン未晒","1","1","Ｃ","2019/08/17","2019/08/16","2019/09/03","5600","5600","2019/08/17","11:26:00","","連携時作成","10000","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","7","1","1","検収済","'0","通常","'0","Web発注","20047","レジロール58X80X紙管巾12mm 5巻入","3","3","袋","2019/08/17","2019/08/16","2019/09/03","362","1086","2019/08/17","11:26:00","","連携時作成","5","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","9","1","1","検収済","'0","通常","'0","Web発注","20316","おしぼり　平185*203MM","3","3","Ｃ","2019/08/17","2019/08/16","2019/09/03","4500","13500","2019/08/17","11:26:00","","連携時作成","2000","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","10","1","1","検収済","'0","通常","'0","Web発注","20327","ﾆｭｰﾌﾟﾛﾏｯｸｽプラカップ Sｻｲｽﾞ(BIP362D)","20","20","袋","2019/08/17","2019/08/16","2019/09/03","400","8000","2019/08/17","11:26:00","","連携時作成","50","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","11","1","1","検収済","'0","通常","'0","Web発注","20357","食材管理シール30X54MM (2500枚／袋)","1","1","袋","2019/08/17","2019/08/16","2019/09/03","2275","2275","2019/08/17","11:26:00","","連携時作成","1","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509565","H0001150376","12","1","1","検収済","'0","通常","'0","Web発注","20532","ｸﾗﾌﾄ無地厚手ﾜｯｸｽﾍﾟｰﾊﾟｰ22X30CM 250枚","8","8","袋","2019/08/17","2019/08/16","2019/09/03","1438","11504","2019/08/17","11:26:00","","連携時作成","1","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509566","H0001150376","14","1","1","検収済","'0","通常","'0","Web発注","20585","トイレットペーパーダブル12R入×8袋","1","1","Ｃ","2019/08/17","2019/08/16","2019/09/03","2375","2375","2019/08/17","11:26:00","","連携時作成","8","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509566","H0001150376","15","1","1","検収済","'0","通常","'0","Web発注","20587","新JSバーガー袋（BITE INTO IT)","1","1","Ｃ","2019/08/17","2019/08/16","2019/09/03","15435","15435","2019/08/17","11:26:00","","連携時作成","4000","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509566","H0001150376","19","1","1","検収済","'0","通常","'0","Web発注","20088","クリーンカツプ　６０ＢＬ本体100個入","5","5","袋","2019/08/17","2019/08/16","2019/09/03","263","1315","2019/08/17","11:26:00","","連携時作成","100","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509566","H0001150376","20","1","1","検収済","'0","通常","'0","Web発注","20542","ＪＳ　バーガーＢＯＸ　本体 １００枚","1","1","Ｃ","2019/08/17","2019/08/16","2019/09/03","4419","4419","2019/08/17","11:26:00","","連携時作成","100","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509566","H0001150376","21","1","1","検収済","'0","通常","'0","Web発注","20594","フォーク＃１６０　黒　バラ500本入","2","2","箱","2019/08/17","2019/08/16","2019/09/03","2045","4090","2019/08/17","11:26:00","","連携時作成","500","2019/08/16","2019/08/16 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509566","H0001150376","22","1","1","検収済","'0","通常","'0","Web発注","30027","流せるトイレクリーナー２４枚入り","2","2","個","2019/08/17","2019/08/16","2019/09/03","115","230","2019/08/17","11:26:00","","連携時作成","1","2019/08/16","2019/08/16 09:00:00","'030","洗剤","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23509566","H0001150376","23","1","1","検収済","'0","通常","'0","Web発注","30033","バイオガード中性洗剤　５Ｌ","1","1","本","2019/08/17","2019/08/16","2019/09/03","2644","2644","2019/08/17","11:26:00","","連携時作成","1","2019/08/16","2019/08/16 09:00:00","'030","洗剤","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23517776","H0001153558","1","1","1","検収済","'0","通常","'0","Web発注","10002","ペーパータオル　キャビネット","8","5","台","2019/08/20","2019/08/19","2019/09/03","1900","9500","2019/08/20","'09:12:00","","連携時作成","1","2019/08/19","2019/08/19 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","山口","'0.08","","","","'0"
